addr:country,addr:province,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:place,addr:housenumber,addr:floor,addr:unit,addr:full,description,x,y,addr:TW:dataset,source
TW,台灣省,澎湖縣,馬公市,五德里,7,,鷄母塢,41之2號,,,澎湖縣馬公市五德里7鄰鷄母塢41之2號,警察局人力發展中心,309411.179,2602784.674,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,光復里,28,北辰街17巷5弄,,16號,,1,澎湖縣馬公市光復里28鄰北辰街17巷5弄16號之1,先與屋主聯絡,308230.03,2607538.91,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,興仁里,1,,双頭掛,1號,,4,澎湖縣馬公市興仁里1鄰双頭掛1號之4,最早有人設籍,312390.443,2605589.266,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,興仁里,12,,双頭掛,102號,,1,澎湖縣馬公市興仁里12鄰双頭掛102號之1,69．5．12有申請書,312651.55,2605326.96,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,西文里,24,永壽街,,81號,,,澎湖縣馬公市西文里24鄰永壽街81號,馬公市戶政事務所,309305.723,2607030.982,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,陽明里,5,中華路76巷,,3號,,,澎湖縣馬公市陽明里5鄰中華路76巷3號,非經馬公市公所同意不得遷入,308423.12,2607577.134,170852,澎湖縣政府
TW,台灣省,澎湖縣,西嶼鄉,池東村,6,,小池角,97號,,3,澎湖縣西嶼鄉池東村6鄰小池角97號之3,西嶼鄉戶政事務所,301841.99,2610696.56,170852,澎湖縣政府
TW,台灣省,澎湖縣,望安鄉,東安村,5,,望安,73號,,5,澎湖縣望安鄉東安村5鄰望安73號之5,澎湖縣望安鄉戶政事務所,301144.97,2583993.79,170852,澎湖縣政府
TW,台灣省,澎湖縣,七美鄉,平和村,10,,頂茄埕,9號,,3,澎湖縣七美鄉平和村10鄰頂茄埕9號之3,七美鄉戶政事務所,293235.75,2567401.68,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,光明里,4,光復路,台電新村,3號,,4,澎湖縣馬公市光明里4鄰光復路台電新村3號之4,,308291.41,2607842.85,170852,澎湖縣政府
